you,ты
formal,формальный
formally,формально
formation,формирование
fortnight,две недели
fortunate,удачливый
foundation,Фонд
freeway,Автострада
freezer,морозильная камера
frequently,часто
fuel,топливо
function,функция
fundamental,фундаментальный
fuss,суета
gallery,галерея
garlic,чеснок
gather,собирать
gear,передача
gene,ген
generally,в общем
generation,поколение
gentle,нежный
genuine,подлинный
glance,взгляд
global,Глобальный
govern,управлять
gradually,постепенно
grammar,грамматика
graph,график
grass,трава
grocery,бакалея
halfway,наполовину
handbag,сумочка
headquarter,штаб-квартира
height,рост
hence,следовательно
hesitate,колебаться
highlight,выделить
highway,шоссе
historian,историк
historical,исторический
hold,держать
holder,держатель
holding,держа
household,домашнее хозяйство
housing,Корпус
heavily,сильно
ice cream,мороженое
ideal,идеальный
identify,идентифицировать
illness,болезнь
illustrate,иллюстрировать
impact,влияние
implement,осуществлять
implication,значение
imply,подразумевать
import,импорт
impose,навязывать
improvement,улучшение
improve,улучшить
income,доход
independence,независимость
independent,независимый
index,показатель
individual,физическое лицо
inevitably,неизбежно
infant,младенец
infection,инфекция
inflation,инфляция
initial,начальный
initiative,инициатива
innovation,инновации
input,ввод
inquiry,запрос
install,установить
instance,пример
instant,мгновенный
instruction,инструкция
investment,вложение
involvement,участие
jumper,джемпер
justify,оправдать
luckily,к счастью
lounge,гостиная
limitation,ограничение
lighting,освещение
locate,найти
mud,грязь
motorway,автомагистраль
mortgage,ипотека
moreover,более того
mobile phone,мобильный телефон
mixture,смесь
numerous,многочисленные
nuisance,неприятность
nuclear,ядерный
nowadays,Настоящее время
novel,роман
notion,понятие
notably,особенно
noisy,шумный
newly,недавно
nevertheless,тем не менее
objective,задача
occasionally,время от времени
occupation,Занятие
opponent,противник
opposition,оппозиция
ordinary,обычный
organ,орган
organic,органический
organization,организация
organize,организовать
origin,происхождение
originally,изначально
outcome,результат
output,вывод
outstanding,выдающийся
oven,печь
overall,в общем и целом
overcome,преодолеть
overtime,через некоторое время
owe,должен
pursue,преследовать
purple,фиолетовый
purely,чисто
purchase,покупка
pudding,пудинг
publish,публиковать
publicity,гласность
publication,публикация
psychology,психология
psychological,психологический
provision,обеспечение
providing,предоставление
protest,акция протеста
prosecution,судебное преследование
proportion,пропорция
properly,должным образом
prompt,незамедлительный
promotion,продвижение
promote,продвигать
profit,прибыль
profession,профессия
producer,режиссер
produce,производить
privilege,привилегия
prior,предшествующий
printer,принтер
principle,принцип
principal,главный
primary,первичный
previously,ранее
previous,предыдущий
prevent,предотвращать
presumably,предположительно
preserve,сохранить
presentation,презентация
preference,предпочтение
precisely,точно
precise,точный
prayer,молитва
practical,практичный
poverty,бедность
pour,налить
poster,плакат
possession,владение
possess,обладать
pond,пруд
pollution,загрязнение
poll,голосование
politics,политика
pole,столб
poetry,поэзия
poet,поэт
plot,сюжет
platform,Платформа
pitch,подача
pipe,труба
pint,пинта
pile,куча
pill,таблетка
physics,физика
physically,физически
phrase,фраза
photograph,фотография
photocopy,ксерокопия
philosophy,философия
phase,фаза
persuade,убедить
permit,разрешать
percentage,процент
perceive,воспринимать
peak,пик
peaceful,мирный
quote,цитата
racing,гонки
radical,радикальный
rapidly,быстро
ratio,соотношение
raw,сырой
reader,читатель
readily,охотно
realistic,реалистичный
recipe,рецепт
reckon,считать
recommend,рекомендовать
recover,восстанавливать
reduction,сокращение
refer,ссылаться
reflect,отражать
reform,реформа
regard,рассматривать
regime,режим
regularly,регулярно
reject,отвергать
relate,относиться
relation,связь
relative,родственник
relieve,облегчить
religion,религия
remark,замечание
reserve,резерв
resort,курорт
resource,ресурс
respond,отвечать
restore,восстановить
restrict,ограничивать
restriction,ограничение
retire,уходить в отставку
reveal,выявить
revolution,революция
sack,мешок
scientific,научный
scope,объем
secondly,во-вторых
seize,воспользоваться
selection,отбор
sharply,резко
shave,бриться
shell,оболочка
shelter,убежище
shine,сияние
shortly,скоро
should,должен
shove,толкать
shrug,пожимать плечами
similarly,так же
sin,грех
skirt,юбка
slide,горка
slight,слабый
slightly,слегка
slope,наклон
sock,носок
soil,почва
spray,спрей
starve,голодать
status,статус
steel,сталь
storage,место хранения
strain,напряжение
straw,солома
stream,ручей
strongly,сильно
structure,структура
substance,вещество
succeed,преуспеть
sufficient,достаточно
surprising,удивительно
surround,окружать
survey,опрос
survival,выживание
suspicion,подозрение
swap,своп
sympathy,сочувствие
tendency,тенденция
tent,палатка
tidy,аккуратный
tin,банка
ton,тонна
trend,тенденция
tricky,хитрый
tune,настраивать
tunnel,туннель
tyre,утомлять
ultimate,окончательный
understanding,понимание
unemployed,безработные
unfortunate,несчастный
unique,уникальный
unknown,неизвестно
upper,верхний
urban,городской
urge,побуждать
urgent,срочный
used,используемый
valuable,ценный
various,различный
vehicle,средство передвижения
virtually,практически
virtue,добродетель
visible,видимый
visitor,посетитель
vital,жизненно важно
voluntary,добровольный
withdraw,изымать
widespread,широко распространенный
widely,широко
whisper,шептать
youngster,юноша
gut,кишка
crocodile,крокодил
dialect,диалект
e-book,электронная книга
hearty,сердечный
incurable,неизлечимый
jockey,жокей
junk food,вредная еда
mania,мания
margarine,маргарин
mosque,мечеть
preposition,предлог
proclaim,провозглашать
shiver,дрожь
skilful,умелый
socket,разъем
sportsman somewhere,спортсмен где-нибудь
sweetheart,милая
amazing,удивительный
definitely,определенно
evidence,доказательства
upstairs,вверх по лестнице
dangerous,опасно
innocent,невиновный
apparently,по всей видимости
congratulations,поздравления
experience,опыт
medical,медицинский
incredible,невероятно
attorney,поверенный
jealous,ревнивый
ourselves,мы сами
unfortunately,к несчастью
whenever,"всякий раз, когда"
pathetic,жалкий
downstairs,вниз по лестнице
immediately,немедленно
gorgeous,безумно красивая
physical,физический
garbage,мусор
coincidence,стечение обстоятельств
generous,щедрый
outfit,снаряжение
suspicious,подозрительно
anniversary,Годовщина
commitment,обязательство
challenge,вызов
discussion,обсуждение
younger,моложе
romance,романтика
procedure,процедура
medication,медикамент
shared,общий
warrant,ордер
odds,шансы
specific,конкретный
sweater,свитер
diagram,диаграмма
jet,струя
vulnerable,уязвимый
tears,слезы
locker,шкафчик
awkward,неловко
delicious,очень вкусно
murderer,убийца
technically,технически
cave,пещера
performance,спектакль
gram,грамм
touching,трогательный
committee,комитет
consequence,следствие
testimony,свидетельство
granted,предоставляется
political,политический
equipment,оборудование
appropriate,подходящее
impressive,впечатляющий
intelligence,интеллект
questioning,допрос
campus,кампус
hallway,коридор
popcorn,Попкорн
makeup,составить
madam,Госпожа
jean,джин
cowboy,ковбой
blackmail,шантажировать
concept,концепция
barb,колючка
supportive,поддерживающий
memorial,мемориал
Japanese,Японский
explosion,взрыв
trauma,травма
Russian,русский
furious,яростный
cheat,обман
approve,одобрить
drawer,выдвижной ящик
phony,фальшивый
joining,присоединение
interfere,мешать
governor,губернатор
catching,ловля
bargain,торговаться
tragic,трагедия
punish,наказать
hop,хмель
rich,богатые
insult,оскорбление
absolute,абсолютный
strictly,строго
British,Британский
worthy,достойный
serving,сервировка
polite,вежливый
internal,внутренний
bitter,горький
adorable,очаровательны
alike,одинаково
fax,факс
distracted,отвлеченный
escort,эскорт
twin,близнец
circus,цирк
audition,прослушивание
mask,маска
helpless,беспомощный
dated,датированный
robbery,грабеж
beast,зверь
tub,ванна
talented,талантливый
struck,пораженный
mistaken,ошибся
Italy,Италия
bizarre,причудливый
scaring,пугающий
punk,панк
focused,сосредоточенный
alert,предупреждение
activity,Мероприятия
foolish,глупый
attend,посещать
Canadian,Канадский
aid,помощь
wheelchair,инвалидное кресло
protective,защитный
picnic,пикник
construction,строительство
wives,жены
stink,вонять
recent,недавний
Jewish,Еврейский
filling,начинка
exit,выход
cruise,морское путешествие
cottage,коттедж
corporate,корпоративный
upside,вверх
German,Немецкий
basis,основа
wounded,раненый
conformity,соответствие
wicked,злой
merely,просто
massage,массаж
chop,рубить
costs,расходы
betray,предавать
waiter,Официант
scam,мошенничество
fraud,мошенничество
flu,грипп
pee,пописать
cliff,обрыв
expression,выражение
entrance,Вход
drawing,Рисование
bunny,кролик
bracelet,браслет
thirteen,тринадцать
scout,разведчик
fairly,честно
arrive,прибыть
shed,сарай
nanny,няня
naive,наивный
corn,кукуруза
authorities,власти
separated,отделенный
patch,патч
devastated,опустошенный
description,описание
subtle,тонкий
garrison,гарнизон
metal,металл
executive,должностное лицо
confirm,подтвердить
parade,парад
bow,лук
booth,будка
straighten,выпрямить
honoured,заслуженный
specifically,конкретно
exam,экзамен
convenient,удобный
traveling,путешествие
laying,укладка
crystal,кристалл
apply,применять
air,воздуха
legend,легенда
kindly,любезно
grandson,внук
donor,донор
temper,характер
proven,доказано
monitor,монитор
eternity,вечность
denial,отрицание
swell,зыбь
noon,полдень
episode,эпизод
thinking,мышление
spirits,духи
potion,зелье
dial,набирать номер
rehearsal,репетиция
hostage,заложник
hammer,молоток
facet,грань
discover,обнаружить
constant,постоянный
bench,скамья
moron,дебил
impress,произвести впечатление
gray,серый
entitled,под названием
connect,подключиться
needle,игла
lad,парень
intelligent,умный
disagree,не согласен
tiger,тигр
groom,жених
gesture,жест
developed,развитый
constantly,постоянно
sealed,запечатанный
paradise,рай
legally,законно
psychic,экстрасенс
dense,плотный
teenage,подростковый
rabbit,кролик
puppy,щенок
Bible,Библия
accidentally,случайно
superior,высший
slack,слабина
homeless,бездомный
hollow,полый
desperately,отчаянно
critical,критический
coward,трус
personnel,персонал
item,предмет
due,в связи
majesty,величество
jay,сойка
instinct,инстинкт
extreme,крайний
belief,вера
motorcycle,мотоцикл
convincing,убедительный
appeal,обращение
greater,больше
aids,СПИД
grip,рукоятка
upsetting,расстраивает
production,производство
invisible,невидимый
forgiveness,прощение
complex,сложный
compare,сравнить
blank,пустой
treasure,сокровище
sacred,священный
inviting,приглашение
inner,внутренний
compromise,компромисс
cocktail,коктейль
tramp,бродяга
signing,подписание
messenger,посыльный
landing,посадка
intimate,интимный
dignity,достоинство
dealt,дело
root,корень
entertainment,развлекательная программа
dressing,одевание
blessing,благословение
billion,миллиард
lightning,молния
leak,утечка
fond,любит
corky,пробковый
alternative,альтернатива
seduce,соблазнять
modern,современный
liquor,ликер
June,Июнь
stuffed,фаршированный
emotionally,эмоционально
division,деление
conditions,условия
transplant,пересадить
tips,чаевые
powder,порошок
oxygen,кислород
lunatic,сумасшедший
hid,спрятался
drill,дрель
complain,Пожаловаться
announcement,объявление
slap,шлепок
pumpkin,тыква
oath,клятва
mutual,взаимный
hockey,хоккей
graduate,выпускник
yacht,яхта
spa,спа
horn,рог
fried,жареный
extraordinary,необычный
bait,приманка
appearance,внешность
sworn,поклялся
safely,безопасно
reunion,воссоединение
burst,взрыв
experiment,эксперимент
explicit,явный
dive,нырять
commission,комиссия
chaos,хаос
aboard,на борту
lesbian,лесбиянка
expose,разоблачать
environment,Окружающая среда
spider,паук
smaller,меньше
booze,выпивка
tattoo,татуировка
parole,условно-досрочное освобождение
ditch,ров
bulldog,бульдог
bra,бюстгальтер
Spanish,испанский
glow,светиться
thirsty,жаждущий
skull,череп
scotch,скотч
dining,обедать
bend,сгибаться
unexpected,неожиданный
sob,рыдать
pancake,блин
harsh,суровый
existence,существование
troubles,неприятности
favourite,любимый
driven,ведомый
chin,подбородок
rage,ярость
bubble,пузырь
undercover,под прикрытием
spoiled,испорченный
rug,коврик
deputy,заместитель
conspiracy,заговор
clothing,одежда
thoughtful,заботливая
drank,пили
contrary,наоборот
beloved,любимый
allergic,аллергический
forgiven,прощенный
earl,граф
bent,согнутый
approval,одобрение
jungle,джунгли
dancer,танцор
cotton,хлопок
cooked,приготовленный
foul,грязный
dull,тупой
peanut,арахис
horror,ужастик
stunt,трюк
portrait,портрет
July,Июль
jealousy,ревность
hopeless,безнадежный
volunteer,волонтер
sword,меч
scenario,сценарий
necklace,ожерелье
chapel,часовня
restrain,сдерживать
homicide,убийство
helicopter,вертолет
firing,стрельба
safeguard,охрана
diamond,алмаз
devoted,посвященный
auction,аукцион
videotape,видеокассета
tore,порвал
pops,хлопает
appetite,аппетит
patrol,патруль
ironic,ироничный
excitement,волнение
anyhow,так или иначе
core,ядро
bowling,боулинг
belly,живот
shark,акула
miller,мельник
dealer,дилер
cooperate,сотрудничать
bachelor,бакалавр
accomplish,выполнить
reservation,резервирование
coke,кокс
ashes,пепел
supposedly,якобы
loft,чердак
integrity,целостность
qualified,квалифицированный
inappropriate,неуместен
immediate,немедленный
ginger,имбирь
sunset,закат солнца
nation,нация
lipstick,помада
lawn,лужайка
compassion,сострадание
cafeteria,кафетерий
scarf,шарф
obsession,одержимость
management,управление
lighten,облегчить
granddaughter,внучка
explode,взорваться
balcony,балкон
conscious,сознательный
ally,союзник
ace,туз
absurd,абсурдный
vicious,порочный
rap,рэп
forbid,запретить
defendant,ответчик
bare,голый
salesman,продавец
leap,прыжок
ken,Кен
insanity,безумие
genetic,генетический
fighter,истребитель
burden,бремя
swallow,проглотить
kidnap,похищать
gown,платье
entering,входящий
setup,настроить
serial,серийный
sandy,Сэнди
dramatic,драматический
carver,резчик
blade,лезвие
seventh,седьмой
rape,изнасилование
pony,пони
semester,семестр
delicate,нежный
oldest,самый старый
live,прямой эфир
eager,нетерпеливый
doomed,обреченный
coffin,гроб
bureau,бюро
adoption,принятие
stab,колоть
sickness,болезнь
loop,петля
floating,плавающий
combination,сочетание
chamber,камера
casino,казино
worn,изношенный
vault,свод
payback,окупаемость
healing,выздоровление
cascade,каскад
wrestling,борьба
sixth,шестой
passionate,страстный
lawsuit,иск
distrustul,недоверчивый
crossing,переход
cozy,уютный
associate,ассоциировать
tire,утомлять
mill,мельница
journal,журнал
risky,рискованно
nest,гнездо
honourable,почетный
favour,одолжение
culture,культура
closest,ближайший
breakdown,сломать
conflict,конфликт
bald,лысый
actress,актриса
wisdom,мудрость
steam,пар
scar,шрам
worthless,бесполезный
suck,сосать
injured,пострадавший
graduation,выпускной
disturbing,тревожный
disturb,беспокоить
distract,отвлекать
conclusion,заключение
baker,пекарь
muffin,маффин
mid,середина
measure,мера
crawling,ползать
congress,съезд
briefcase,портфель
whistle,свистеть
roast,жареный
Greek,Греческий
flirting,флирт
damaged,поврежден
topic,тема
riot,бунт
minimum,минимум
hostile,враждебный
embarrass,смущать
casual,повседневная
beacon,маяк
amusing,забавный
altar,алтарь
skinny,тощий
goods,товар
porch,крыльцо
ghost,призрак
drops,капли
dizzy,голова кружится
breastfeeding,кормление грудью
beaten,избитый
rehabilitation,реабилитация
photographer,фотограф
leery,подозрительный
fortunately,к счастью
expectation,ожидание
draft,проект
active,активный
ski,кататься на лыжах
musician,музыкант
executed,казнен
examine,исследовать
document,документ
bribe,взятка
rum,ром
prescription,рецепт
hush,тише
fuzzy,нечеткий
fragile,хрупкий
forensics,криминалистика
expense,расход
drugged,одурманенный наркотиками
conduct,поведение
comic,комический
avenue,проспект
suitcase,чемодан
sort,Сортировать
scan,сканировать
rod,стержень
motor,мотор
mini,мини
installation,установка
insecure,небезопасный
gamble,азартная игра
wrist,запястье
silk,шелк
pump,насос
nicer,приятнее
haul,тянуть
guardian,опекун
dodge,уклоняться
boot,ботинок
thumb,большой палец
limited,ограничено
lighter,более легкий
elder,старший
shooter,стрелок
quietly,тихо
lion,лев
erase,стереть
denying,отрицание
ankle,лодыжка
amnesia,амнезия
ruby,Рубин
hunter,охотник
heartbeat,стук сердца
confront,противостоять
minus,минус
legitimate,законный
hurricane,ураган
fixing,фиксация
auto,авто
arrogant,высокомерный
tuna,тунец
slightest,малейший
saying,говоря
paternity,отцовство
catholic,католический
snack,закуска
rational,рациональный
passport,заграничный пасспорт
dip,окунуться
advanced,продвинутый
tumor,опухоль
humiliated,униженный
destruction,разрушение
banana,банан
August,Август
aspirin,аспирин
academy,академия
wig,парик
turk,турк
throughout,на протяжении
logic,логика
knight,рыцарь
eyesight,зрение
equal,равный
ritual,ритуал
perfume,духи
hiring,найм
ham,ветчина
fusion,слияние
elect,избрать
thankful,благодарен
nineteen,19
comedy,комедия
analysis,анализ
teenager,подросток
shore,берег
palm,Пальма
detective,детектив
widow,вдова
tissue,ткань
repay,погашать
permanently,постоянно
hack,взломать
deadly,смертельный
comfortless,неудобный
verdict,приговор
jar,банка
insensitive,нечувствительный
aim,цель
triple,тройной
messy,грязный
entry,вход
bleed,кровоточить
foster,воспитывать
ding,звон
airplane,самолет
worker,рабочий
underestimate,недооценивать
soccer,футбольный
registered,зарегистрированный
multiple,множественный
harmless,безобидный
frisk,обыскивать
folk,народ
convention,соглашение
communicate,общаться
attraction,Привлечение
arson,поджог
whack,бить
wade,бродить
residence,резиденция
medium,Средняя
liking,симпатия
development,развитие
develop,развиваться
dearest,дорогой
congratulate,поздравлять
April,апреля
alliance,союз
vengeance,месть
rack,стойка
puzzle,головоломка
guidance,руководство
courtesy,любезность
caller,звонящий
wizard,волшебник
repair,ремонт
quiz,викторина
curiosity,любопытство
barbecue,барбекю
troops,войска
cough,кашель
accusation,обвинение
resent,возмущаться
freshman,первокурсник
envy,зависть
drown,утонуть
sofa,диван
highness,высочество
drain,слив
dock,док
welfare,благосостояние
theirs,их
state,штат
somewhat,в некотором роде
solo,соло
jazz,джаз
hawk,ястреб
finishing,отделка
album,альбом
wee,крошечный
understandable,понятно
stir,размешать
gratitude,благодарность
faithful,верный
accent,акцент
zip,застегивать
wandering,блуждающий
regardless,несмотря на
inevitable,неизбежный
crushed,раздавлен
contingent,условный
rocky,скалистый
robe,халат
retired,в отставке
gossip,сплетни
gambling,азартные игры
determine,определить
cosmetics,косметика
cent,цент
stiff,жесткий
sincere,искренний
shield,щит
nightmare,кошмар
ignoring,игнорирование
hunch,догадка
firework,салют
crown,корона
cooperation,сотрудничество
brass,латунь
sophisticated,сложный
luggage,багаж
lemon,лимон
investigate,исследовать
explore,исследовать
dragon,Дракон
creek,ручей
complication,осложнение
righteous,праведный
reconsider,пересмотреть
inspiration,вдохновение
goody,хорошо
fringe,бахрома
ethic,этика
courthouse,здание суда
camping,кемпинг
assistance,помощь
affection,привязанность
lodge,подавать
haircut,стрижка волос
forcing,принуждение
eternal,вечный
stud,шпилька
sailor,матрос
operator,оператор
goat,козел
exclusive,эксклюзивный
destructive,разрушительный
defeat,поражение
adore,обожать
warrior,воин
shorts,шорты
ninth,девятый
dough,тесто
creation,творчество
barrel,бочка
tuck,подоткать
rear,тыл
pacific,тихоокеанский
magnificent,великолепный
lick,лизать
goddess,богиня
glorious,славный
visitation,посещение
teen,подросток
scholarship,стипендия
sane,здравомыслящий
kingdom,Королевство
flames,пламя
sunny,Солнечный
mattress,матрас
lobster,Омар
importantly,важно
glove,перчатка
disappointment,разочарование
condo,кондо
cemetery,кладбище
screech,визжать
nun,монахиня
navy,флот
dedicated,преданный
Christian,Христианин
annual,годовой
worm,червь
tick,поставить галочку
polish,полировать
funds,фонды
defensive,оборонительный
compete,конкурировать
balloon,воздушный шар
sailing,плавание
filing,подача
depression,депрессия
conversation,разговор
consideration,рассмотрение
consciousness,сознание
innocence,невиновность
freaky,причудливый
forehead,лоб
slam,хлопнуть
pry,подглядывать
inform,сообщить
dug,выкопанный
delighted,Обрадованный
daylight,дневной свет
currently,В настоящее время
confidential,конфиденциально
chew,жевать
washing,мойка
warden,надзиратель
temple,храм
mistress,госпожа
marrow,костный мозг
hatred,ненависть
grill,гриль
corpse,труп
sober,трезвый
peel,кожура
larger,больше
infected,зараженный
humanity,человечество
electrical,электрические
distraction,отвлечение
chopper,измельчитель
cart,тележка
broadcast,трансляция
violation,нарушение
suspend,приостановить
sting,ужалить
promising,многообещающий
harassment,преследование
glue,клей
gathering,сбор
deer,олень
cursed,проклят
content,содержание
combat,бой
brutal,жестокий
asset,актив
warlock,Чернокнижник
wagon,вагон
unpleasant,неприятный
tan,загар
robot,робот
lease,сдавать в аренду
killer,убийца
flame,пламя
domestic,внутренний
divine,божественный
disappearance,исчезновение
depressing,удручающий
thrill,волнение
terminal,Терминал
rib,ребро
knew,знал
flush,промывать
exception,исключение
earring,серьга
deadline,крайний срок
corporal,капрал
update,Обновить
smack,хлопать
melt,плавиться
madness,безумие
eagle,орел
delusional,бредовый
could,мог
burnt,сгорел
tender,нежный
sperm,сперма
realise,понимать
pork,свинина
interrogation,допрос
institution,учреждение
esteem,почитать
communication,общение
choir,хор
undo,отменить
plague,чума
manipulate,манипулировать
lifestyle,Стиль жизни
insulting,оскорбительный
honour,честь
detention,содержание под стражей
delightful,восхитительный
daisy,маргаритка
coffeehouse,Кофейня
chess,шахматы
betrayal,предательство
apologizing,извиняюсь
whipped,взбитый
reminder,напоминание
fame,слава
faint,слабый
confusion,спутанность сознания
sang,пел
nearest,ближайший
illusion,иллюзия
execution,казнь
distress,горе
cutter,резак
correctly,правильно
complaint,жалоба
trophy,трофей
pointless,бессмысленно
pearl,жемчужина
heir,наследник
eighth,восьмой
alibi,алиби
shiny,блестящий
mint,мята
keeper,хранитель
hose,шланг
hobby,хобби
fitting,примерка
curtain,штора
counselling,консультирование
wit,остроумие
technical,технический
puppet,кукольный
modeling,моделирование
irresponsible,безответственный
humiliation,унижение
felony,тяжкое преступление
choke,удушение
blackmailing,шантаж
tabloid,таблоид
rally,ралли
pledge,залог
nursery,питомник
louder,громче
investigator,следователь
ignate,зажигать
homecoming,возвращение на родину
graduated,закончил
frustrating,разочарование
fabric,ткань
dot,точка
distant,далекий
cock,петух
bustle,суета
buff,бафф
wax,воск
sleeve,рукав
irony,ирония
dope,допинг
torch,факел
substitute,замена
scandal,скандал
prick,укол
limb,конечность
laser,лазер
hysterical,истеричный
growth,рост
dimension,измерение
clip,зажим
climbing,альпинизм
ultimately,в конечном итоге
roller,ролик
negotiate,вести переговоры
millennium,тысячелетие
marsh,болото
majority,большинство
lethal,смертельный
deed,дело
cigar,сигара
bore,сверлить
babysitter,няня
sponge,губка
sleepy,сонный
peek,заглядывать
outrageous,возмутительный
medal,медаль
grudge,недовольство
driveway,подъездная дорога
deserted,заброшенный
definite,определенный
beep,писк
weed,сорняк
nickname,прозвище
conviction,убежденность
weigh,весить
rocket,ракета
intruder,нарушитель
fur,мех
herb,трава
cycle,цикл
hardware,оборудование
wealthy,богатый
versus,против
sip,глоток
postpone,откладывать
celebrity,знаменитость
offensive,наступление
mug,кружка
hairy,волосатый
bedtime,перед сном
alcoholic,алкоголик
sticky,липкий
splendid,великолепный
shrimp,креветка
despise,презирать
atmosphere,атмосфера
rifle,винтовка
handwriting,почерк
shepherd,пасти
importance,важность
fatal,фатальный
separation,разделение
method,метод
diagnosis,диагноз
yearbook,ежегодник
triangle,треугольник
partnership,партнерство
humble,скромный
thorough,тщательный
thunder,гром
located,расположенный
grandchildren,внуки
sentimental,сентиментальный
marketing,маркетинг
population,Население
scent,запах
pose,поза
fleet,флот
sketch,эскиз
mere,всего лишь
outer,внешний
mock,издеваться
January,Январь
sour,кислый
maximum,максимум
speaker,оратор
tease,дразнить
peach,персик
nude,ню
clearance,оформление
anxiety,беспокойство
salmon,лосось
summit,саммит
lid,крышка
mechanic,механик
tobacco,табак
missile,ракета
steer,управлять
heel,пятка
granddad,дедушка
tournament,турнир
approximately,примерно
employment,трудоустройство
grandparents,бабушка и дедушка
forbidden,запрещено
tutor,наставник
modest,скромный
vessel,сосуд
variety,разнообразие
smash,разбить
mild,незначительный
shaft,вал
rainbow,радуга
grasp,схватывать
fireplace,камин
tide,прилив
mustard,горчица
wheat,пшеница
fountain,фонтан
stem,стебель
December,Декабрь
writer,писатель
tribe,племя
ounce,унция
convenience,удобство
dash,рывок
invest,вкладывать деньги
difficulty,трудность
sadness,печаль
microwave,микроволновая печь
additional,дополнительный
mankind,человечество
fare,транспортные расходы
laptop,ноутбук
saddle,седло
razor,бритва
coverage,покрытие
corridor,коридор
sidewalk,тротуар
oak,дуб
notify,уведомлять
confide,доверять
scrub,скраб
parallel,параллельно
orbit,орбита
feather,перо
farmer,фермер
spicy,пряный
napkin,салфетка
efficient,эффективный
arrow,стрелка
abbey,аббатство
solitary,уединенный
myth,миф
toll,Потери
fuse,предохранитель
industrial,промышленный
hostess,хозяйка
delight,восторг
imaginary,воображаемый
elegant,элегантный
elbow,локоть
custom,обычай
ant,муравей
tempt,соблазнять
splash,всплеск
shade,тень
metaphor,метафора
ancestor,предок
acceptance,принятие
weekly,еженедельно
warmth,тепло
umbrella,зонтик
parenting,воспитание
onion,лук
mobile,мобильный
footstep,шаг
cement,цемент
bloom,цветение
triumph,торжество
greed,жадность
essential,существенный
temptation,искушение
sarcasm,сарказм
partial,частичный
inconvenience,неудобство
courageous,храбрый
stew,тушить
sorrow,печаль
mend,исправить
impulsive,импульсивный
harvest,урожай
foam,пена
divide,делить
online,онлайн
invasion,вторжение
consultant,консультант
banking,банковское дело
stereo,стерео
obey,подчиниться
neutral,нейтральный
lump,ком
harass,беспокоить
donkey,осел
cologne,одеколон
waist,Талия
vain,тщеславный
stepfather,отчим
lemonade,лимонад
vomit,рвота
stadium,стадион
liberal,либеральный
spice,пряность
nod,кивок
tenth,десятый
horizon,горизонт
frequency,частота
flexible,гибкий
dairy,молочный
corrupt,испорченный
loaf,буханка
herbal,травяной
generosity,щедрость
shampoo,шампунь
humour,юмор
frost,мороз
volcano,вулкан
password,пароль
merit,заслуга
conquer,завоевать
orientation,ориентация
lotion,лосьон
hazard,опасность
glamorous,гламурный
scenery,декорации
globe,глобус
dam,плотина
verify,проверить
criticism,критика
thirst,жажда
limp,хромать
unpack,распаковать
trim,отделка
sphere,сфера
preparation,подготовка
pear,груша
headline,Заголовок
grape,виноград
vitamin,витамин
uncertain,неуверенный
stern,суровый
sponsor,спонсор
peculiar,своеобразный
grain,зерно
painter,художник
notebook,ноутбук
vanish,исчезнуть
tackle,снасти
fisherman,рыбак
decorate,украсить
salvation,спасение
nausea,тошнота
inherit,наследовать
nosy,любопытный
passive,пассивный
orchestra,оркестр
gourmet,гурман
tickle,щекотать
heating,обогрев
scatter,разбросать
slavery,рабство
herd,пасти
heap,куча
solar,солнечный
sculpture,скульптура
lace,кружево
sensation,ощущение
savage,дикарь
noodle,лапша
vocabulary,запас слов
tractor,трактор
gulf,залив
probable,вероятный
hangover,Похмелье
thrust,толчок
flee,бежать
daring,дерзкий
paragraph,пункт
mist,туман
deceive,обмануть
spectacle,зрелище
vacant,вакантный
shrine,святыня
dedicate,посвящать
coupon,купон
zoom,увеличить
mercy,милость
lively,оживленный
equivalent,эквивалент
compensation,компенсация
canvas,холст
vivid,яркий
outdoor,открытый
litter,мусор
gallon,галлон
firmly,твердо
moustache,усы
marble,мрамор
hesitation,колебание
daytime,дневное время
shortage,нехватка
monthly,ежемесячно
renew,возобновить
refund,возврат
deliberate,преднамеренный
zipper,молния
rainy,дождливый
overload,перегрузка
module,модуль
merchant,купец
leftover,остаток
textbook,учебник
flour,порошок
ruler,линейка
currency,валюта
wrinkle,морщинка
rust,ржавчина
undoubtedly,несомненно
timetable,расписание уроков
publisher,издатель
penalty,штраф
quid,фунт
queue,очередь
qualification,квалификация
recognition,признание
recommendation,рекомендация
reference,Справка
reflection,отражение
refrigerator,холодильник
regional,региональный
register,регистр
registration,постановка на учет
regulation,регулирование
relatively,относительно
relevant,соответствующие
religious,религиозный
rely,полагаться
remaining,остальной
remarkable,замечательный
remote,удаленный
replacement,замена
reply,Ответить
representation,представление
republic,республика
require,требовать
requirement,требование
resident,резидент
resign,уходить в отставку
resistance,сопротивление
resolution,разрешающая способность
resolve,разрешить
respectively,соответственно
retain,сохранить
retirement,уход на пенсию
revenue,доход
reverse,обеспечить регресс
reward,награда
rhythm,ритм
ridiculous,смешной
rival,соперник
rope,веревка
roughly,примерно
rubber,резина
rubbish,мусор
rural,сельский
significance,значение
significant,существенный
significantly,значительно
so-called,так называемые
software,программного обеспечения
solicitor,солиситор
sore,болит
southern,южный
specialist,специалист
species,виды
specify,указывать
spelling,орфография
